bacteria
0-100
Protein Id	Score	Localization	Gene Ontology Terms
tr|T2K5U7|T2K5U7_SALTM	38	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2K6P1|T2K6P1_SALTM	97	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2K6B5|T2K6B5_SALTM	88	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2K3Q8|T2K3Q8_SALTM	95	inner membrane	cytochrome o ubiquinol oxidase complex GO:0009319(IDA); integral to plasma membrane GO:0005887(IDA); respiratory chain GO:0070469(IEA);
tr|T2KAL6|T2KAL6_SALTM	93	cytoplasm	cytosol GO:0005829(IDA);
tr|T2K2T1|T2K2T1_SALTM	89	inner membrane	integral to plasma membrane GO:0005887(IDA);
tr|T2K8I8|T2K8I8_SALTM	30	periplasm	periplasmic space GO:0042597(IEA);
tr|T2KFE0|T2KFE0_SALTM	50	periplasm	outer membrane-bounded periplasmic space GO:0030288(IEA); periplasmic space GO:0042597(IDA);
tr|T2K7Q0|T2K7Q0_SALTM	100	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2K622|T2K622_SALTM	99	cytoplasm	chromosome GO:0005694(IEA); cytoplasm GO:0005737(IEA);
tr|T2K5L5|T2K5L5_SALTM	72	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2K763|T2K763_SALTM	16	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2K4F4|T2K4F4_SALTM	28	inner membrane	integral to membrane GO:0016021(IEA); membrane GO:0016020(IDA); plasma membrane GO:0005886(IEA);
tr|T2KBT7|T2KBT7_SALTM	70	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2KBA6|T2KBA6_SALTM	15	secreted	extracellular region GO:0005576(IEA);
tr|T2K2G7|T2K2G7_SALTM	13	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IDA);
tr|T2KA08|T2KA08_SALTM	75	periplasm	periplasmic space GO:0042597(IDA);
tr|T2K4M9|T2K4M9_SALTM	91	inner membrane	Gram-negative-bacterium-type cell wall GO:0009276(IEA); integral to plasma membrane GO:0005887(IDA); protein complex GO:0043234(IDA);
tr|T2K2L5|T2K2L5_SALTM	11	secreted	extracellular region GO:0005576(IEA);
tr|T2K684|T2K684_SALTM	17	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2K4G3|T2K4G3_SALTM	100	periplasm	bacterial-type flagellum GO:0009288(IEA); periplasmic space GO:0042597(IEA);
tr|T2K3R7|T2K3R7_SALTM	18	periplasm	membrane GO:0016020(IBA); periplasmic space GO:0042597(IDA);
tr|T2KFL3|T2KFL3_SALTM	93	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2KCE7|T2KCE7_SALTM	100	periplasm	outer membrane-bounded periplasmic space GO:0030288(IEA);
tr|T2KDG6|T2KDG6_SALTM	10	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2K4P8|T2K4P8_SALTM	10	inner membrane	integral to plasma membrane GO:0005887(IDA);
tr|T2KEY0|T2KEY0_SALTM	12	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2KBD9|T2KBD9_SALTM	90	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2KC60|T2KC60_SALTM	95	inner membrane	integral to membrane GO:0016021(IDA); plasma membrane GO:0005886(IEA); proton-transporting ATP synthase complex, coupling factor F(o) GO:0045263(IMP);
tr|T2KB38|T2KB38_SALTM	90	periplasm	membrane GO:0016020(ISS); periplasmic space GO:0042597(IEA);
tr|T2K9Z1|T2K9Z1_SALTM	12	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2K856|T2K856_SALTM	8	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2K246|T2K246_SALTM	28	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2KB91|T2KB91_SALTM	81	inner membrane	Gram-negative-bacterium-type cell wall GO:0009276(IEA); integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2K8I9|T2K8I9_SALTM	96	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2K4C8|T2K4C8_SALTM	30	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2K242|T2K242_SALTM	98	cytoplasm	cell division site GO:0032153(IEA); cytoplasm GO:0005737(IDA); protein complex GO:0043234(IEA);
tr|T2KEU7|T2KEU7_SALTM	90	inner membrane	integral to membrane GO:0016021(IEA); periplasmic space GO:0042597(IDA); plasma membrane GO:0005886(IEA);
tr|T2KC90|T2KC90_SALTM	98	secreted	extracellular region GO:0005576(IEA);
tr|T2K924|T2K924_SALTM	19	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2K773|T2K773_SALTM	100	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2KAW7|T2KAW7_SALTM	14	cytoplasm	bacterial nucleoid GO:0043590(IDA); cytoplasm GO:0005737(IEA);
tr|T2KCA7|T2KCA7_SALTM	15	cytoplasm	cytoplasm GO:0005737(IEA); Holliday junction resolvase complex GO:0048476(IDA);
tr|T2KEJ2|T2KEJ2_SALTM	27	periplasm	periplasmic space GO:0042597(IDA);
tr|T2K5A7|T2K5A7_SALTM	78	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2K629|T2K629_SALTM	92	inner membrane	integral to plasma membrane GO:0005887(IDA);
tr|T2K2I8|T2K2I8_SALTM	10	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2KET1|T2KET1_SALTM	96	inner membrane	integral to membrane GO:0016021(IDA); plasma membrane GO:0005886(IDA);
tr|T2K3D4|T2K3D4_SALTM	92	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2K3W6|T2K3W6_SALTM	28	inner membrane	integral to membrane GO:0016021(IDA); plasma membrane GO:0005886(IEA);
tr|T2KAT0|T2KAT0_SALTM	34	cytoplasm	nucleoid GO:0009295(IEA); ribosome GO:0005840(IEA);
tr|T2K6P2|T2K6P2_SALTM	100	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2K6I9|T2K6I9_SALTM	85	periplasm	periplasmic space GO:0042597(IEA);
tr|T2K7N1|T2K7N1_SALTM	26	secreted	cell wall GO:0005618(IEA); extracellular region GO:0005576(IEA);
tr|T2K3M8|T2K3M8_SALTM	94	cytoplasm	cytoplasm GO:0005737(IEA); membrane GO:0016020(IDA); nucleoid GO:0009295(IEA);
tr|T2K272|T2K272_SALTM	34	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2K9J7|T2K9J7_SALTM	100	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2KAA3|T2KAA3_SALTM	16	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2K7X7|T2K7X7_SALTM	85	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2KDV1|T2KDV1_SALTM	12	secreted	extracellular region GO:0005576(IEA);
tr|T2K467|T2K467_SALTM	15	cytoplasm	cytoplasm GO:0005737(IDA);
tr|T2KDJ8|T2KDJ8_SALTM	8	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2KET5|T2KET5_SALTM	100	periplasm	outer membrane-bounded periplasmic space GO:0030288(IEA);
tr|T2K7E2|T2K7E2_SALTM	53	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2K3E0|T2K3E0_SALTM	14	periplasm	periplasmic space GO:0042597(IEA);
tr|T2KC53|T2KC53_SALTM	22	secreted	extracellular region GO:0005576(IEA);
tr|T2K3W0|T2K3W0_SALTM	12	fimbrium	pilus GO:0009289(IEA);
tr|T2K235|T2K235_SALTM	91	cytoplasm	cytoplasm GO:0005737(IDA);
tr|T2KBU7|T2KBU7_SALTM	82	inner membrane	integral to plasma membrane GO:0005887(IDA);
tr|T2KCR8|T2KCR8_SALTM	23	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2KBG5|T2KBG5_SALTM	95	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2KDW8|T2KDW8_SALTM	91	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IDA);
tr|T2K3P9|T2K3P9_SALTM	93	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2KBN0|T2KBN0_SALTM	95	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2KCU5|T2KCU5_SALTM	93	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2KDJ1|T2KDJ1_SALTM	94	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2KBR5|T2KBR5_SALTM	56	periplasm	membrane GO:0016020(IBA); periplasmic space GO:0042597(IEA);
tr|T2K4W1|T2K4W1_SALTM	91	cytoplasm	cytoplasm GO:0005737(IDA); membrane GO:0016020(IDA);
tr|T2K439|T2K439_SALTM	25	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2K4K5|T2K4K5_SALTM	86	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2K7B4|T2K7B4_SALTM	14	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2KC95|T2KC95_SALTM	8	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2K7K4|T2K7K4_SALTM	18	periplasm	periplasmic space GO:0042597(IEA);
tr|T2K9L0|T2K9L0_SALTM	86	periplasm	cytoplasm GO:0005737(IDA); outer membrane-bounded periplasmic space GO:0030288(IDA);
tr|T2KDW7|T2KDW7_SALTM	95	secreted	cytoplasm GO:0005737(IDA); extracellular region GO:0005576(IEA);
tr|T2K619|T2K619_SALTM	29	periplasm	periplasmic space GO:0042597(IEA);
tr|T2K6L7|T2K6L7_SALTM	19	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2K6K0|T2K6K0_SALTM	10	periplasm	periplasmic space GO:0042597(IEA);
tr|T2KF74|T2KF74_SALTM	100	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2K2J9|T2K2J9_SALTM	21	cytoplasm	cytosol GO:0005829(IDA);
tr|T2KDI7|T2KDI7_SALTM	90	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2K9U8|T2K9U8_SALTM	63	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2KFR3|T2KFR3_SALTM	15	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2K6R7|T2K6R7_SALTM	94	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2K354|T2K354_SALTM	91	inner membrane	integral to membrane GO:0016021(IEA); membrane GO:0016020(NAS); organelle inner membrane GO:0019866(IEA); plasma membrane GO:0005886(IEA);
tr|T2K683|T2K683_SALTM	8	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2K5Q9|T2K5Q9_SALTM	85	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2K3W7|T2K3W7_SALTM	76	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2KA22|T2KA22_SALTM	92	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2K6P4|T2K6P4_SALTM	93	inner membrane	integral to membrane GO:0016021(IDA); plasma membrane GO:0005886(IEA);
tr|T2K2Q8|T2K2Q8_SALTM	23	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2KFK1|T2KFK1_SALTM	15	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2K510|T2K510_SALTM	90	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2KBX2|T2KBX2_SALTM	92	inner membrane	integral to membrane GO:0016021(IEA); membrane GO:0016020(IDA); plasma membrane GO:0005886(IEA);
tr|T2K988|T2K988_SALTM	8	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2K2M5|T2K2M5_SALTM	8	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2K6J5|T2K6J5_SALTM	14	inner membrane	integral to membrane GO:0016021(IDA); plasma membrane GO:0005886(IEA);
tr|T2K8G5|T2K8G5_SALTM	94	cytoplasm	cytosol GO:0005829(IDA); membrane GO:0016020(IDA);
tr|T2KBE1|T2KBE1_SALTM	94	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2KD27|T2KD27_SALTM	36	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2K768|T2K768_SALTM	100	secreted	extracellular region GO:0005576(ISS); host cell GO:0043657(IEA);
tr|T2KEU3|T2KEU3_SALTM	12	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2K307|T2K307_SALTM	35	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2KBC9|T2KBC9_SALTM	88	cytoplasm	glycerol-3-phosphate dehydrogenase complex GO:0009331(IDA); integral to plasma membrane GO:0005887(IDA);
tr|T2K5F7|T2K5F7_SALTM	100	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2K4X7|T2K4X7_SALTM	74	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2K7L6|T2K7L6_SALTM	84	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2K5Y1|T2K5Y1_SALTM	77	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2K3I9|T2K3I9_SALTM	13	periplasm	ATP-binding cassette (ABC) transporter complex GO:0043190(ISS); outer membrane-bounded periplasmic space GO:0030288(EXP);
tr|T2K7R4|T2K7R4_SALTM	15	inner membrane	integral to membrane GO:0016021(IDA); plasma membrane GO:0005886(IEA);
tr|T2K8N8|T2K8N8_SALTM	13	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2K2Q1|T2K2Q1_SALTM	88	inner membrane	integral to plasma membrane GO:0005887(IDA);
tr|T2KEN4|T2KEN4_SALTM	81	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2KBV3|T2KBV3_SALTM	18	inner membrane	integral to membrane GO:0016021(IDA); plasma membrane GO:0005886(IEA);
tr|T2K7T7|T2K7T7_SALTM	100	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2K7X4|T2K7X4_SALTM	40	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2K9D5|T2K9D5_SALTM	23	inner membrane	integral to membrane GO:0016021(IDA); plasma membrane GO:0005886(IEA);
tr|T2K4A0|T2K4A0_SALTM	100	outer membrane	cell outer membrane GO:0009279(IEA); plasma membrane GO:0005886(IEA); pore complex GO:0046930(IEA);
tr|T2K3M0|T2K3M0_SALTM	93	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2K238|T2K238_SALTM	92	inner membrane	cell division site GO:0032153(IEA); integral to plasma membrane GO:0005887(IDA);
tr|T2K7B7|T2K7B7_SALTM	96	cytoplasm	cytoplasm GO:0005737(IEA);
tr|Q9ZH62|Q9ZH62_SALTM	100	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2K5M5|T2K5M5_SALTM	83	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2K6Q5|T2K6Q5_SALTM	28	inner membrane	integral to membrane GO:0016021(IDA); plasma membrane GO:0005886(IEA);
tr|T2K414|T2K414_SALTM	17	outer membrane	cell outer membrane GO:0009279(IEA); integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2KF98|T2KF98_SALTM	88	periplasm	outer membrane-bounded periplasmic space GO:0030288(IDA);
tr|T2KDM4|T2KDM4_SALTM	52	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2K3G8|T2K3G8_SALTM	22	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2K705|T2K705_SALTM	26	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2K449|T2K449_SALTM	13	inner membrane	integral to membrane GO:0016021(IDA); plasma membrane GO:0005886(IEA);
tr|T2K607|T2K607_SALTM	15	inner membrane	integral to membrane GO:0016021(IDA); plasma membrane GO:0005886(IEA);
tr|T2KBI2|T2KBI2_SALTM	92	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2KDX2|T2KDX2_SALTM	98	cytoplasm	cytosol GO:0005829(IDA); HslUV protease complex GO:0009376(IEA); proteasome core complex GO:0005839(IEA);
tr|T2K566|T2K566_SALTM	8	periplasm	periplasmic space GO:0042597(IEA);
tr|T2KFG5|T2KFG5_SALTM	6	inner membrane	integral to membrane GO:0016021(IDA); plasma membrane GO:0005886(IEA);
tr|T2K7C6|T2K7C6_SALTM	90	inner membrane	ferredoxin hydrogenase complex GO:0009375(IEA); integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2K9J6|T2K9J6_SALTM	93	inner membrane	integral to membrane GO:0016021(IEA); membrane GO:0016020(IDA); plasma membrane GO:0005886(IEA);
tr|T2K2U6|T2K2U6_SALTM	81	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IDA);
tr|T2K9I0|T2K9I0_SALTM	15	periplasm	periplasmic space GO:0042597(IEA);
tr|T2KAF3|T2KAF3_SALTM	23	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2KEA8|T2KEA8_SALTM	57	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2K2H9|T2K2H9_SALTM	22	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2KCQ9|T2KCQ9_SALTM	100	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2KDU7|T2KDU7_SALTM	95	inner membrane	integral to membrane GO:0016021(IDA); plasma membrane GO:0005886(IMP);
tr|T2K458|T2K458_SALTM	97	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2K260|T2K260_SALTM	21	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2KEY6|T2KEY6_SALTM	27	inner membrane	integral to plasma membrane GO:0005887(IDA);
tr|T2KEK5|T2KEK5_SALTM	100	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2KAP8|T2KAP8_SALTM	97	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2KBH0|T2KBH0_SALTM	13	secreted	extracellular region GO:0005576(IEA); outer membrane GO:0019867(IEA);
tr|T2K8D8|T2K8D8_SALTM	10	secreted	extracellular region GO:0005576(IEA);
tr|T2K905|T2K905_SALTM	11	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IDA);
tr|T2KAZ0|T2KAZ0_SALTM	31	cytoplasm	cytoplasmic membrane-bounded vesicle GO:0016023(IEA);
tr|T2KBI9|T2KBI9_SALTM	51	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2K953|T2K953_SALTM	89	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2K4D4|T2K4D4_SALTM	85	cytoplasm	cytoplasm GO:0005737(IEA); nucleoid GO:0009295(IEA);
tr|T2K5E0|T2K5E0_SALTM	20	periplasm	periplasmic space GO:0042597(IEA);
tr|T2K561|T2K561_SALTM	91	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2K7D4|T2K7D4_SALTM	14	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2KEF6|T2KEF6_SALTM	95	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2KDB7|T2KDB7_SALTM	77	cytoplasm	cytoplasm GO:0005737(IDA);
tr|T2K9N8|T2K9N8_SALTM	22	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2K3T5|T2K3T5_SALTM	15	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2K2U1|T2K2U1_SALTM	60	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2K7K1|T2K7K1_SALTM	84	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2K6M5|T2K6M5_SALTM	92	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2KCJ0|T2KCJ0_SALTM	8	inner membrane	integral to plasma membrane GO:0005887(IDA);
tr|T2K7X8|T2K7X8_SALTM	8	periplasm	outer membrane-bounded periplasmic space GO:0030288(IEA);
tr|T2K8E3|T2K8E3_SALTM	82	inner membrane	integral to plasma membrane GO:0005887(IEA);
tr|T2K5R0|T2K5R0_SALTM	20	cytoplasm	cytoplasm GO:0005737(IDA);
tr|T2K334|T2K334_SALTM	28	secreted	extracellular region GO:0005576(IEA); viral capsid GO:0019028(IEA);
tr|T2KCZ0|T2KCZ0_SALTM	92	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2KAU5|T2KAU5_SALTM	34	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2K4G0|T2K4G0_SALTM	100	periplasm	periplasmic space GO:0042597(IDA);
tr|T2K5Q7|T2K5Q7_SALTM	74	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2K506|T2K506_SALTM	96	inner membrane	integral to membrane GO:0016021(IBA); plasma membrane GO:0005886(IEA);
tr|T2K5E9|T2K5E9_SALTM	14	inner membrane	integral to plasma membrane GO:0005887(IDA);
tr|T2K317|T2K317_SALTM	85	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2K7B5|T2K7B5_SALTM	10	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2K656|T2K656_SALTM	15	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2K6D9|T2K6D9_SALTM	97	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2KC69|T2KC69_SALTM	86	cytoplasm	cell outer membrane GO:0009279(IDA); cytoplasm GO:0005737(IEA);
tr|T2K8E7|T2K8E7_SALTM	84	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2K2V3|T2K2V3_SALTM	15	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2KDL2|T2KDL2_SALTM	100	periplasm	periplasmic space GO:0042597(IEA);
tr|T2K7D0|T2K7D0_SALTM	87	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2KC26|T2KC26_SALTM	90	cytoplasm	cytosol GO:0005829(IDA);
tr|T2K9D0|T2K9D0_SALTM	60	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IDA);
tr|T2K380|T2K380_SALTM	11	cytoplasm	cytoplasm GO:0005737(IEA); Holliday junction resolvase complex GO:0048476(IDA);
tr|T2K9R8|T2K9R8_SALTM	14	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2K947|T2K947_SALTM	17	inner membrane	integral to membrane GO:0016021(IDA); plasma membrane GO:0005886(IEA);
tr|T2K7S6|T2K7S6_SALTM	5	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2K4M6|T2K4M6_SALTM	10	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2K4Q9|T2K4Q9_SALTM	15	inner membrane	integral to membrane GO:0016021(IDA); plasma membrane GO:0005886(IEA);
tr|T2KB99|T2KB99_SALTM	14	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2KAU4|T2KAU4_SALTM	17	cytoplasm	citrate lyase complex GO:0009346(IEA);
tr|T2KE59|T2KE59_SALTM	-3	outer membrane	cell outer membrane GO:0009279(IDA); integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2K927|T2K927_SALTM	11	cytoplasm	bacterial-type flagellum basal body GO:0009425(IEA); cytoplasm GO:0005737(IEA);
tr|T2KC84|T2KC84_SALTM	61	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2K7T8|T2K7T8_SALTM	100	secreted	host cell cytoplasm GO:0030430(IEA);
tr|T2K263|T2K263_SALTM	15	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2K310|T2K310_SALTM	15	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2K7D8|T2K7D8_SALTM	78	periplasm	outer membrane-bounded periplasmic space GO:0030288(IDA);
tr|T2K3D9|T2K3D9_SALTM	85	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2K824|T2K824_SALTM	96	cytoplasm	cytosol GO:0005829(IDA);
tr|T2KAB2|T2KAB2_SALTM	14	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2K468|T2K468_SALTM	13	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2K816|T2K816_SALTM	98	cytoplasm	acetate CoA-transferase complex GO:0009329(IDA); cytosol GO:0005829(IDA);
tr|T2KD65|T2KD65_SALTM	22	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2K2B6|T2K2B6_SALTM	5	secreted	cell wall GO:0005618(IEA); extracellular region GO:0005576(IEA);
tr|T2KC83|T2KC83_SALTM	60	periplasm	periplasmic space GO:0042597(IEA);
tr|T2KD87|T2KD87_SALTM	84	outer membrane	cell outer membrane GO:0009279(IEA); plasma membrane GO:0005886(IEA); pore complex GO:0046930(IEA);
tr|T2K923|T2K923_SALTM	44	outer membrane	cell outer membrane GO:0009279(IEA); integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IDA);
tr|T2K267|T2K267_SALTM	16	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2KD71|T2KD71_SALTM	10	cytoplasm	cytoplasm GO:0005737(IDA); membrane GO:0016020(IDA);
tr|T2K2P1|T2K2P1_SALTM	7	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2K9U3|T2K9U3_SALTM	89	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2K2K5|T2K2K5_SALTM	19	inner membrane	integral to membrane GO:0016021(IEA); membrane GO:0016020(IDA); plasma membrane GO:0005886(IEA);
tr|T2KEZ2|T2KEZ2_SALTM	91	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2KAE4|T2KAE4_SALTM	15	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2K671|T2K671_SALTM	82	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2K9A3|T2K9A3_SALTM	99	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2KB60|T2KB60_SALTM	23	secreted	extracellular region GO:0005576(IEA);
tr|T2KAQ4|T2KAQ4_SALTM	9	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2KC22|T2KC22_SALTM	20	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2K9L4|T2K9L4_SALTM	95	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2K8R9|T2K8R9_SALTM	95	inner membrane	ATP-binding cassette (ABC) transporter complex GO:0043190(ISS); integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2K6S2|T2K6S2_SALTM	20	cytoplasm	cytoplasm GO:0005737(IEA);
tr|T2K8M0|T2K8M0_SALTM	91	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|T2K692|T2K692_SALTM	82	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
